transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale,Year,Month
936,1/5/2022,10:51:00,143,Male,57,Beauty,4,50,19.5,200,2022,Jan
1366,1/1/2022,11:34:00,25,Male,57,Clothing,2,50,23.5,100,2022,Jan
1372,3/18/2022,10:53:00,60,Female,24,Beauty,3,500,145,1500,2022,Mar
1596,3/28/2022,6:22:00,7,Female,64,Electronics,1,300,141,300,2022,Mar
1936,6/19/2022,11:32:00,60,Male,57,Beauty,4,50,12.5,200,2022,Jun
284,11/12/2022,9:17:00,129,Male,43,Clothing,4,50,20.5,200,2022,Nov
434,10/26/2022,6:09:00,50,Female,43,Electronics,2,25,8.25,50,2022,Oct
775,5/6/2022,11:07:00,98,Female,46,Electronics,4,25,9.5,100,2022,May
977,7/26/2022,8:35:00,46,Female,35,Electronics,3,25,13.75,75,2022,Jul
1284,12/16/2022,11:43:00,145,Male,43,Clothing,4,50,18,200,2022,Dec
1434,2/4/2022,10:02:00,147,Female,43,Electronics,2,25,7,50,2022,Feb
1775,12/18/2022,8:04:00,78,Female,46,Electronics,4,25,13.75,100,2022,Dec
1977,8/5/2022,10:46:00,63,Female,35,Electronics,3,25,12,75,2022,Aug
649,6/21/2022,8:17:00,44,Female,58,Clothing,2,300,135,600,2022,Jun
1649,10/21/2022,7:44:00,72,Female,58,Clothing,2,300,75,600,2022,Oct
54,10/20/2022,10:17:00,142,Female,38,Electronics,3,500,200,1500,2022,Oct
68,12/15/2022,9:06:00,146,Male,25,Electronics,1,300,84,300,2022,Dec
192,11/8/2022,8:05:00,134,Male,62,Beauty,2,50,13,100,2022,Nov
1054,1/10/2022,9:24:00,49,Female,38,Electronics,3,500,140,1500,2022,Jan
1068,9/14/2022,10:11:00,136,Male,25,Electronics,1,300,111,300,2022,Sep
1192,3/29/2022,8:41:00,37,Male,62,Beauty,2,50,20.5,100,2022,Mar
331,8/16/2022,8:33:00,28,Male,28,Electronics,3,30,10.2,90,2022,Aug
346,9/5/2022,6:54:00,38,Male,59,Clothing,2,500,215,1000,2022,Sep
657,1/29/2022,8:53:00,46,Male,40,Clothing,1,25,8,25,2022,Jan
732,10/13/2022,8:45:00,136,Male,61,Electronics,2,500,250,1000,2022,Oct
972,8/16/2022,11:42:00,139,Male,49,Beauty,4,25,6.75,100,2022,Aug
1331,5/15/2022,9:29:00,36,Male,28,Electronics,3,30,13.8,90,2022,May
1346,4/10/2022,10:01:00,112,Male,59,Clothing,2,500,130,1000,2022,Apr
1657,8/9/2022,10:05:00,61,Male,40,Clothing,1,25,8,25,2022,Aug
1732,2/25/2022,7:05:00,55,Male,61,Electronics,2,500,215,1000,2022,Feb
1972,12/21/2022,6:39:00,5,Male,49,Beauty,4,25,9.25,100,2022,Dec
714,10/29/2022,8:50:00,20,Female,18,Clothing,1,500,190,500,2022,Oct
1714,11/23/2022,6:07:00,111,Female,18,Clothing,1,500,245,500,2022,Nov
193,3/27/2022,10:40:00,55,Male,35,Beauty,3,500,180,1500,2022,Mar
577,4/21/2022,11:55:00,45,Male,21,Beauty,4,500,215,2000,2022,Apr
848,1/24/2022,10:46:00,15,Female,63,Clothing,3,25,9.75,75,2022,Jan
945,10/1/2022,10:01:00,120,Male,30,Beauty,1,25,13.25,25,2022,Oct
1193,5/11/2022,11:31:00,50,Male,35,Beauty,3,500,145,1500,2022,May
1577,9/11/2022,6:22:00,145,Male,21,Beauty,4,500,160,2000,2022,Sep
1848,12/27/2022,10:16:00,63,Female,63,Clothing,3,25,12.5,75,2022,Dec
1945,4/19/2022,9:55:00,33,Male,30,Beauty,1,25,10.75,25,2022,Apr
11,2/27/2022,10:30:00,151,Male,23,Clothing,2,50,23.5,100,2022,Feb
821,11/23/2022,11:27:00,40,Male,49,Electronics,1,300,129,300,2022,Nov
1011,4/1/2022,6:48:00,15,Male,23,Clothing,2,50,19,100,2022,Apr
1821,10/3/2022,7:17:00,42,Male,49,Electronics,1,300,108,300,2022,Oct
133,6/23/2022,9:01:00,70,Male,20,Electronics,3,300,87,900,2022,Jun
1133,3/5/2022,6:42:00,58,Male,20,Electronics,3,300,159,900,2022,Mar
16,6/25/2022,10:33:00,82,Male,19,Clothing,3,500,180,1500,2022,Jun
42,12/8/2022,8:29:00,63,Male,22,Clothing,3,300,147,900,2022,Dec
292,10/10/2022,6:33:00,111,Male,20,Beauty,4,300,141,1200,2022,Oct
416,8/21/2022,9:29:00,55,Male,53,Electronics,4,500,245,2000,2022,Aug
584,12/31/2022,10:21:00,106,Female,27,Beauty,4,50,16.5,200,2022,Dec
861,9/30/2022,8:57:00,22,Female,41,Clothing,3,30,9.6,90,2022,Sep
1016,12/12/2022,7:39:00,52,Male,19,Clothing,3,500,200,1500,2022,Dec
1042,2/11/2022,6:21:00,7,Male,22,Clothing,3,300,150,900,2022,Feb
1292,5/15/2022,8:20:00,88,Male,20,Beauty,4,300,90,1200,2022,May
1416,12/29/2022,10:47:00,111,Male,53,Electronics,4,500,125,2000,2022,Dec
1584,9/3/2022,11:07:00,62,Female,27,Beauty,4,50,16.5,200,2022,Sep
1861,7/4/2022,10:41:00,145,Female,41,Clothing,3,30,10.2,90,2022,Jul
256,1/9/2022,8:05:00,3,Male,23,Clothing,2,500,270,1000,2022,Jan
1256,11/5/2022,9:58:00,29,Male,23,Clothing,2,500,190,1000,2022,Nov
44,3/3/2022,11:07:00,93,Female,22,Clothing,1,25,11.75,25,2022,Mar
257,12/10/2022,8:49:00,130,Male,19,Beauty,4,500,165,2000,2022,Dec
1044,2/20/2022,9:08:00,70,Female,22,Clothing,1,25,7.5,25,2022,Feb
1257,5/10/2022,11:55:00,29,Male,19,Beauty,4,500,255,2000,2022,May
268,4/14/2022,8:26:00,93,Female,28,Electronics,1,30,8.7,30,2022,Apr
287,8/26/2022,11:07:00,88,Male,54,Clothing,4,25,10,100,2022,Aug
966,11/7/2022,7:22:00,119,Male,60,Electronics,2,500,190,1000,2022,Nov
1268,6/9/2022,9:33:00,15,Female,28,Electronics,1,30,14.1,30,2022,Jun
1287,9/13/2022,8:03:00,120,Male,54,Clothing,4,25,7,100,2022,Sep
1966,7/20/2022,9:52:00,74,Male,60,Electronics,2,500,200,1000,2022,Jul
70,12/27/2022,10:48:00,147,Female,43,Clothing,1,300,84,300,2022,Dec
371,12/18/2022,10:01:00,32,Female,20,Beauty,1,25,13,25,2022,Dec
900,11/10/2022,8:41:00,130,Male,21,Clothing,2,30,15.6,60,2022,Nov
1070,7/14/2022,11:12:00,102,Female,43,Clothing,1,300,120,300,2022,Jul
1371,5/6/2022,6:52:00,41,Female,20,Beauty,1,25,13.5,25,2022,May
1900,1/21/2022,6:43:00,65,Male,21,Clothing,2,30,10.8,60,2022,Jan
8,12/27/2022,11:19:00,148,Male,30,Electronics,4,25,11,100,2022,Dec
41,10/11/2022,10:36:00,88,Male,34,Clothing,2,25,13.25,50,2022,Oct
454,3/12/2022,7:20:00,13,Female,46,Beauty,1,25,13,25,2022,Mar
780,7/6/2022,11:30:00,107,Male,52,Electronics,2,25,13.25,50,2022,Jul
920,8/20/2022,10:25:00,99,Female,28,Beauty,3,25,6.75,75,2022,Aug
1008,1/10/2022,8:51:00,116,Male,30,Electronics,4,25,13,100,2022,Jan
1041,5/10/2022,7:27:00,74,Male,34,Clothing,2,25,11,50,2022,May
1454,6/25/2022,11:18:00,22,Female,46,Beauty,1,25,6.75,25,2022,Jun
1780,12/11/2022,10:00:00,32,Male,52,Electronics,2,25,10.5,50,2022,Dec
1920,10/24/2022,8:33:00,23,Female,28,Beauty,3,25,9.25,75,2022,Oct
396,12/15/2022,7:11:00,29,Female,55,Beauty,1,30,10.8,30,2022,Dec
1396,6/7/2022,6:23:00,9,Female,55,Beauty,1,30,8.4,30,2022,Jun
168,4/29/2022,9:20:00,138,Male,53,Clothing,1,300,102,300,2022,Apr
400,3/8/2022,9:52:00,2,Male,53,Clothing,4,50,24,200,2022,Mar
611,7/21/2022,8:13:00,11,Male,51,Beauty,3,500,180,1500,2022,Jul
800,9/19/2022,7:33:00,111,Male,32,Clothing,4,300,87,1200,2022,Sep
1168,7/10/2022,7:56:00,68,Male,53,Clothing,1,300,150,300,2022,Jul
1400,9/12/2022,11:54:00,115,Male,53,Clothing,4,50,20,200,2022,Sep
1611,11/17/2022,7:30:00,125,Male,51,Beauty,3,500,180,1500,2022,Nov
1800,8/21/2022,10:53:00,1,Male,32,Clothing,4,300,111,1200,2022,Aug
272,6/10/2022,11:57:00,112,Female,61,Electronics,2,50,27.5,100,2022,Jun
473,9/25/2022,10:09:00,1,Male,64,Beauty,1,50,14.5,50,2022,Sep
506,4/29/2022,7:13:00,9,Male,34,Beauty,3,500,200,1500,2022,Apr
766,1/4/2022,8:02:00,128,Male,38,Electronics,3,300,165,900,2022,Jan
1272,4/14/2022,11:59:00,66,Female,61,Electronics,2,50,17,100,2022,Apr
1473,3/19/2022,9:06:00,30,Male,64,Beauty,1,50,13,50,2022,Mar
1506,1/9/2022,7:31:00,52,Male,34,Beauty,3,500,245,1500,2022,Jan
1766,11/22/2022,6:08:00,6,Male,38,Electronics,3,300,129,900,2022,Nov
135,4/18/2022,7:22:00,104,Male,20,Clothing,2,25,13,50,2022,Apr
1135,1/14/2022,8:16:00,124,Male,20,Clothing,2,25,12.5,50,2022,Jan
2,6/24/2022,10:07:00,104,Female,26,Clothing,2,500,135,1000,2022,Jun
158,1/21/2022,11:38:00,141,Female,44,Electronics,2,300,132,600,2022,Jan
185,6/27/2022,9:48:00,57,Male,24,Clothing,1,25,7,25,2022,Jun
433,7/29/2022,8:48:00,144,Male,29,Beauty,4,50,20,200,2022,Jul
1002,3/2/2022,9:24:00,69,Female,26,Clothing,2,500,270,1000,2022,Mar
1158,2/24/2022,9:29:00,77,Female,44,Electronics,2,300,138,600,2022,Feb
1185,10/4/2022,10:28:00,153,Male,24,Clothing,1,25,10.25,25,2022,Oct
1433,1/16/2022,11:41:00,113,Male,29,Beauty,4,50,15.5,200,2022,Jan
152,6/16/2022,11:58:00,120,Male,43,Electronics,4,500,210,2000,2022,Jun
753,7/6/2022,10:07:00,70,Female,32,Clothing,1,30,15.9,30,2022,Jul
763,4/23/2022,9:43:00,58,Male,34,Clothing,2,25,11.5,50,2022,Apr
932,10/8/2022,8:33:00,120,Female,45,Beauty,4,25,7.75,100,2022,Oct
1152,12/26/2022,7:48:00,87,Male,43,Electronics,4,500,170,2000,2022,Dec
1753,7/17/2022,7:40:00,28,Female,32,Clothing,1,30,10.5,30,2022,Jul
